Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),CX Expansion from EX Foundation (Credit Union),,,"Hi Danielle, We've been partnering with Capital Credit Union on the Employee Experience side, and we're seeing branch and member services leaders build on that foundation to keep service consistent as volume, channels, and expectations continue to grow. A common challenge is knowing where service breakdowns quietly occur across branches and support teams and which issues most affect member satisfaction and efficiency. We help teams bring member feedback and frontline insight into one place so it's clear where to focus, how to support teams more effectively, and how to deliver a consistent, member-first experience across the network. Would you be open to a quick conversation this week? Best, Caleb",,FSI / Credit Union,Caleb Galke
15 - Source Email (categorized winner),F2 Reconnect / New POC,Persistence Reply - Stay a Resource w/o Formal Relationship (account aligned),,,"Good morning Victoria, Thanks for the update. We have a team aligned to United Bank and would still value a quick introduction. I'd like to learn more about your platform and share what we're seeing other leading banks focus on this year. Even without a formal relationship, we want to be a resource to the team. Best, Caleb",,Banking / FSI,Caleb Galke
15 - Source Email (categorized winner),F2 Reconnect / New POC,Role Change + Prior Qualtrics User (Member Experience),,,"Hey Dan, Congrats on the recent move to Elevations. Stepping into AVP of Member Experience is a great fit given your CX and VoC leadership at Transamerica. As a long time Qualtrics user at Transamerica we want to stay connected with you. I'd be interested in how you're thinking about evolving the member listening strategy and protecting the overall experience as you shape the program at Elevations. How does this week look for a quick connect? Best, Caleb",,FSI / Credit Union,Caleb Galke
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"CISO / Security Persona - Human Risk Signals (account team, CoreXM)",,,"Hi Stan, We haven't had the pleasure of meeting yet, but I recently joined the Qualtrics team supporting our CoreXM partnership with EarnIn. Given your leadership as CISO, I wanted to reach out regarding a trend we see in fintech: moving beyond technical logs to analyze 100 percent of human experience signals. This identifies where friction in security protocols causes employees to circumvent controls or where privacy anxiety impacts member trust in your AI initiatives. A big part of our 2026 framework for EarnIn uses AI to surface the why behind these human centric risks, providing insights 50 percent faster than manual audits. I thought it might be worth exploring how we can help your team automate the identification of cultural bottlenecks that drive up your risk profile, ensuring EarnIn's security posture scales with its data innovation. I would love to connect to learn about your 2026 security initiatives and share how we are currently supporting EarnIn. How does your availability look for 15 minutes this week or next? Hope to hear back soon, Benjamin",,FinTech,Benjamin
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Event Registration Signal (PGA Truist event) + Account Team; prospect signed up,",,,"Hi Jason, My name is Ben Hammond and I am on the LPL account team at Qualtrics. As you may know, we are working with Katlyn Garcia and others on various research initiatives. I noticed that you registered for the PGA Truist event in Charlotte. I just wanted to see if you have time before the event to meet our account head Lee Evans so he can help optimize your event experience. We'd love to understand your interests and see how we can help. Do you have 15 minutes in the coming weeks to connect? All the best, Ben",,FSI,Ben Hammond
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Role-Based MX Outreach - Friction to Loyalty (no prior relationship),,,"Hi Erling, Noticed you lead Member Experience at Langley Federal and thought it was worth reaching out. Many MX leaders are focused on driving consistency across the organization, but it can be difficult to analyze and understand which specific friction points in the member journey are actually impacting long-term loyalty and retention. Qualtrics helps teams bridge this gap by connecting experience signals with operational data. This ensures your experience strategy is guided by the why behind member behavior, allowing you to prioritize improvements that move the needle on your key metrics. Would you be open to a brief introduction? Best, Matthew",,FSI / Credit Union,Matthew
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC | HR Team (Hyundai),,Exciting news: Qualtrics/Hyundai partnership,"Hi Jimmy, I am reaching out to reconnect following our previous discussions regarding Hyundai Motor America's employee skills assessment, exit interviews, and 360 assessment initiatives. While I know procurement was a hurdle in the past, I am excited to share that Qualtrics has recently signed a master agreement with Hyundai. We are now a fully approved partner with established legal and procurement terms, which will make the process much smoother for any future projects. We would love to hear how your HR strategies have progressed and share how we can now support your initiatives as an internal partner. Are you open to a brief conversation sometime next week or the first week of May? Best regards, Jasmine Gonzalez",,Automotive,Jasmine Gonzalez
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),RM | CX | Director fo Services (Allied Universal),,Strengthening B2b Client relations,"Hi Cathy, I am reaching out because Qualtrics is working with leading business services organizations to transition from traditional client feedback to a more sophisticated Experience Layer that unifies every account signal. Given your leadership at Allied Universal, there is a significant opportunity to bring this high-fidelity approach to your B2B experience initiatives. We help B2B leaders move beyond annual surveys by providing a unified view of the client journey-from structured feedback to unsolicited sentiment in digital and operational touchpoints. By integrating these real-time signals, we can help your team identify ""at-risk"" accounts much earlier in the lifecycle, allowing you to intervene proactively and protect your regional P&L. I'd love to learn more about your 2026 priorities for client engagement and discuss how our technology can help scale your mission of driving operational excellence. Do you have 20 minutes for a brief conversation next Monday or Tuesday? Best regards, Jasmine Gonzalez",,Other / Enterprise,Jasmine Gonzalez
15 - Source Email (categorized winner),F2 Reconnect / New POC,Consumer Market Insights Engagement Lead (Unilever - Dove Skincare),,,"Hi Judith, I know you've chatted with us in the past at Godiva, so wanted to touch base. I'm reaching out because I noticed you are over at Unilever now and wanted to try and reconnect about a new solution we've launched at Qualtrics called Edge - a panel subscription model. Curious how often y'all currently supplement research with externally sourced panel? This new model has opened up the opportunity for other folks in your space to: Lower research costs Have a more predictable cost structure for panel research, making it easier to plan and allocate resources Enhance the quality and depth of research Gather insights in minutes, rather than the weeks it typically takes Any interest in learning a bit more this week or the following? Thanks, Maureen",,CPG,Maureen Callaghan
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),ww ent | custom mqc | Chief Marketing Officer - connected me with Head of Insigh,,,"Hi Gabrielle, I noticed you recently took a look at our report, 5 Ways to Modernize Your Research with AI. I'm reaching out because my colleague, Riley Coine, connected with you this past Fall. At the time, you mentioned sharing her details with your Head of Insights to set up a sync. We unfortunately never managed to get that on the calendar, but seeing your recent interest in our AI framework, I wondered if now might be a better time to reconnect? If it's easier, I'm happy to reach back out to your Insights lead directly, I just wanted to check in with you first since this topic seems to be top of mind again. Best, Maureen",,CPG,Maureen Callaghan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Senior Manager, Digital Experience & Platforms (Gexa Energy)",,,"Hi Andrew, Noticed you couldn't make it to our webinar earlier this week on the 'Real Cost of Bad Experiences'. No sweat, things get busy. Did you want me to send over the recording and the deck? There was some pretty solid data in there about quantifying digital friction that I imagine would be of interest with what you're doing at NextEra. Also, just wanted to introduce myself and your designated account executive, Megann Skalka (cc'd). We're your go-to team here at Qualtrics. We're already a vetted partner working with NextEra's HR team on engagement surveys, and would love to expand the conversation towards your side of the business. Do you have 15-20 mins next week to sync up? Would love to introduce ourselves and make sure you're aware of what we do in the digital experience space. Let me know and I'm happy to coordinate schedules and/or send over the webinar recording. Cheers, Maureen",,Energy / Utilities,Maureen Callaghan
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"ww ent | custom mqc | Director, Digital Experience & Business Advocacy (AES Corp",,,"Hi Angie, I noticed you recently downloaded our guide, 5 Steps to Integrate Digital Into Your CX. Given your focus on end-to-end digital experience and business advocacy at AES Renewables, I hope the framework for aligning technical delivery with measurable business value proved useful. It's been quite a while since we connected-I believe our last deep dive was during your 2023 employee experience RFP. While we didn't land that partnership, I'd love to reconnect now that you're leading Digital Experience. Since AES is already leveraging a Qualtrics Digital CX license, I wanted to reach out to ensure you're connected with your current account team. I'd also love to walk through the platform's latest capabilities to make sure you're getting full value out of the existing setup for your specific internal and global digital initiatives. Do you have 15 minutes next week to reconnect and sync with the AES account team? Best, Maureen",,Energy / Utilities,Maureen Callaghan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Director of Customer Insights & Voice (Advance Auto Parts),,A quick intro to AJ + A Raleigh hello,"Hi Rachel, Hope you're well. I wanted to follow-up on my email from the beginning of the month. Would you be open to connecting with us in May? AJ and I would love to introduce ourselves and learn about your CX program and iinitiatives at Advance Auto. I'd also love to hear what restaurants you recommend in the Triangle. I'm still exploring since I moved down here in November. I walked around the Duke Gardens a couple of weekends ago and it was lovely! Let me know what works best for you and I can find 20 mins to connect across our calendars. Thanks, Caitlin",,Retail,Caitlin
15 - Source Email (categorized winner),F2 Reconnect / New POC,3 follow-ups before getting a response | Director of Category Management & Insig,,,"Hi Ryan, I know it's been a while since we last connected, but I wanted to reach out and reconnect. I'd love to introduce you to my colleague, Bryan, on the Coca-cola Canada account team at Qualtrics. He helped General Mills transform their consumer research approach. By leveraging Qualtrics to build ""The HIVE,"" they turned $45M of fragmented data into a live, searchable asset and reduced research timelines from months to just days. Would you be open to a quick intro call in the next couple of weeks?",,CPG,Caitlin
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),immediately responded | Head of Consumer and Customer Insights (IKEA Canada),,,"HI Danyal, thanks for connecting yesterday! I'm having trouble getting my email through to you. I was hoping to set up a brief time to meet in the next week to introduce you to the Account Executive on the IKEA account at Qualtrics. If you aren't familiar with Qualtrics, we are the leading XM software. We would love to learn about your customer experience initiatives and be a resource for you now or in the future. Is there a day that works best to connect next week?",,Retail,Caitlin
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Associate Director of Data Strategy (Collider Lab (A Yum! Brands company)),,,"Hi Joan, My name is Theresa and I support Ben Goold on the Yum! brands account here at Qualtrics. Reaching out because I wanted to get a quick sync on the calendar for you and Ben to connect. We want to ensure you are getting everything you need from the platform and start a proactive conversation regarding your renewal coming up later this year. Do you have 30 minutes for a quick chat? Ben and I are available at these times: Thursday, May 7th between 9am-2pm PT Friday, May 8th between 9-10am PT Let me know what works best for you and I would be happy to send over a calendar invite! Best, Theresa",,Foodservice,Theresa Zeh
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Manager of Strategic Insights (AMC Theaters),,,"Hi Max, My name is Theresa and I support Ben Goold on the AMC account here at Qualtrics. Reaching out because I wanted to get a quick sync on the calendar for you and Ben to connect. We want to ensure you are getting everything you need from the platform and start a proactive conversation regarding your renewal coming up later this year. Do you have 30 minutes for a quick chat? Ben and I are available at these times: Thursday, May 7th between 11am-4pm CT Friday, May 8th between 10am-12pam CT Let me know what works best for you and I would be happy to send over a calendar invite! Best, Theresa",,Hospitality / Gaming,Theresa Zeh
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"LinkedIn message | Senior Director, Digital Analytics and Strategy (Macy's)",,,"Hi Archit, thanks for connecting! I saw you recently joined the team at Macy's to drive Digital Commerce growth, congrats on the move! Given your background at TikTok and Amazon, I'm curious if the name Qualtrics ever crossed your desk during your time there? We partner with both to help them translate behavioral data into actionable consumer insights. As you build out the analytics strategy at Macy's, I'd love to share how we're helping retail leaders bridge the gap between ""what"" customers are doing and ""why"" they are doing it to drive digital conversion. Would you be open to a brief introductory chat?",,Retail,Theresa Zeh
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC | Digital product marketing manager (Batesville),,Approved partner: enhancing digital roadmap,"Hi Kris, I noticed you recently downloaded our 2026 Consumer Experience Trends report and wanted to reach out. Since Batesville already has a strategic research license with us, I'd love to connect and share how your team can leverage our current market research capabilities to enhance your digital and physical product roadmap. Given your focus on customer-focused decision-making grounded in behavioral data, we can be especially beneficial in helping you translate strategic objectives into high-impact feature releases and actionable user stories. We'd love to show you how our latest research tools can simplify your upcoming projects and help align customer insights with technical feasibility. Are you available for a 15-minute sync this Friday or next Monday to discuss how we can best support your initiatives under your existing agreement? Best regards, Jasmine Gonzalez",,Manufacturing,Jasmine Gonzalez
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC | Employee listening Manager (Robert half international),,Reconnecting: Employee experience updates,"Hi Ann, I am reaching out to reconnect following our previous conversations regarding employee experience at Robert Half International. Now that we are in the spring of 2026, I would love to share some of the exciting updates we have made to our EX software. We have introduced significant advancements in automation and AI capabilities specifically designed to provide deeper people analytics that drive a measurable difference. Our updated tools now allow for more continuous, automated listening throughout the employee lifecycle, helping leaders like yourself move from reactive surveys to proactive engagement and retention strategies. Would you be open to a brief 15-minute meeting sometime next week to discuss your current roadmap and see how these new capabilities can support Robert Half's 2026 initiatives? Best regards, Jasmine Gonzalez",,Other / Enterprise,Jasmine Gonzalez
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),senior director HRIS (Sealed Air),,Qualtrics Check in,"Hi Stephanie, My name is Tom and I support Brian Nielson on the Sealed Air account here at Qualtrics. Reaching out because I wanted to get a quick sync on the calendar for you and Brian to connect. We want to ensure you are getting everything you need from the platform and start a proactive conversation regarding your renewal coming up later this year. Do you have 30 minutes for a quick chat? Brian and I are available at these times: Thursday, May 14th between 10am-1pm CT Friday, May 15th between 10am-2:30 pm CT Let me know what works best for you and I would be happy to send over a calendar invite! Best,",,Manufacturing,Tom Bablak
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),RM | CX 2026 | Head of Design and Consumer Experience (Mars),,Omnichannel Intelligence,"Hi Jackson, Following my last note, I see you were at L'Oreal previously. Curious if you are at all familiar with us from your time there? For a bit more context, (which I'm sure you may already know) companies excelling at customer experience grow revenues 40% faster than their peers. For example, we helped TruGreen achieve an 11% improvement in retention and protect $4.2M in revenue in just six months by unified their signals into a single intelligence system. By leveraging our purpose-built AI to detect emotion, friction, and intent across every call and digital interaction, you can move away from manual analysis and focus on high-value strategic initiatives. We've seen this approach reduce call volumes by 23% simply by identifying and fixing root-cause issues that were previously hidden in siloed data. Would love to hear more about your current initiatives as we continue to expand the partnership. Best, Maureen",,CPG,Maureen Callaghan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),AL | MR | Sr. Director of COnsumer & Shopper Insights (Newell Brands),,Approved partner: scaling consumer insights,"Hi Delicia, I am reaching out because Qualtrics currently partners with the user experience team at Newell Brands, and given your leadership across iconic kitchen and fragrance brands, I wanted to see how we can expand that support to your consumer insights initiatives. We help retail leaders move beyond fragmented data by providing a live, unified research asset that bridges the gap between what consumers are doing and why they are doing it. For your portfolio, this means leveraging our purpose-built AI to synthesize feedback, predict shifting buyer behavior, and accelerate innovation timelines from months to days-allowing you to confidently shape consumer-centric strategy and drive growth. Our latest tools can significantly lower traditional human panel costs while gathering deep, actionable market insights in minutes rather than weeks. Are you available for a brief 15-minute sync next week to discuss how we can best support your 2026 growth roadmap under our existing agreement? Best regards, Jasmine Gonzalez",,CPG,Jasmine Gonzalez
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Director Consumer Insights (Wendy's),,,"Hey Emily! I haven't heard back from you yet. As a last note, X4 is truly a great event that could provide some valuable information and best practices in the world of research and experience management. We always bring out incredible key note speakers/celebrities and we will be sure to have another amazing lineup this year. Let me know if this is something you'd be interested in learning more about! Thanks,",,Foodservice,Amber Lamphere
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),General Manager (Transdev Rail),,,"Hi Edward, I support the Transdev account here at Qualtrics. Saw that you created a free account with us so I wanted to reach out. I wanted to find some time to connect with you to do intros, understand your program goals and priorities and see if there is any alignment in how my team can support yours! Can you connect on Friday or Monday for a 15 minute chat Nothing formal, just some time to talk through your goals and see if we can help you reach them. Best, Amber",,Transportation / Logistics,Amber Lamphere
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Director of Market and Consumer Research (Best Buy),,,"Hey Mark, appreciate you taking my call earlier. There's some exciting things happening at Qualtrics that have opened up the opportunity for lower research costs, faster turnaround times, and enhanced depth of research. I've attached a few resources. We'd like to walk you through some of the highlights including our updated Market Research technology POV. How does your schedule look for the end of January? Below are a few windows that work on our end. Would any of these work for you? - 1/20: 11:00 AM - 1:00 PM (CST) - 1/22: 11:00 AM - 4:00 PM - 1/27: 11:00 AM - 4:00 PM - 1/28: 9:00 AM - 1:00 PM Looking forward to connecting. Thanks, Amber",,Retail,Amber Lamphere
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Director of HR (Golden Nugget Las Vegas),,,"Julio, Happy New Year! I wanted to reach out as you're getting back into things and thinking about initiatives for 2026. We'd love to find some time this month to continue our conversations and share where Qualtrics supports in improving the depth of insights you have into employee satisfaction, engagement, attrition, and more. Would the week of January 19th be open to connect with you? Thanks, Amber",,Hospitality / Gaming,Amber Lamphere
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Chief People Officer (Dave & Buster's),,,"Hi Devesh, I'm on the Qualtrics team supporting Dave & Buster's. We're the leading experience management company working with groups like Delta, PGA TOUR, and Disney to power their guest & employee experience programs. My team is going to be in Dallas on March 4th & 5th, so I wanted to ask if you'd be in town to chat for a few mins. We'd love the opportunity to introduce ourselves and hear your perspective on how better listening/sentiment could be beneficial for your initiatives. Possible to find ~10 mins while we're there? Even if to say hello or grab a coffee. Cheers, Amber",,Hospitality / Gaming,Amber Lamphere
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Vice President, Talent Acquisition (The wonderful company)",,,"Linkedin: Hey Elizabeth - great to connect. Congratulations on the move to The Wonderful Company! I'm on the Qualtrics team supporting Wonderful. You may have heard our name thrown around. Sent you a note from tbablak@qualtrics.com yesterday. We'd love the opportunity to introduce ourselves. We work with TA leaders to listen, understand and enhance the candidate experience. Imagining you're getting up to speed right now. Would mid-late October be good to connect with you? Would love to learn your vision for Wonderful and share our approach especially as I could imagine you're in planning season right now. Cheers!",,CPG,Tom Bablak
15 - Source Email (categorized winner),F2 Reconnect / New POC,Director of Total Rewards (Paccar),,,"Hi Chris, My name is Jasmine, and I'm a member of the Qualtrics team supporting PACCAR. I'm reaching out because I saw we connected back in 2022 about your challenges with time-consuming EX, engagement, and pulse surveys. A lot has changed since then. Our platform has significantly advanced, and we can now help organizations like yours automate survey distribution and use AI to analyze feedback instantly, dramatically cutting down on manual effort. I'd be interested to see what your current strategy looks like. Are you using surveys for benefits evaluation, or focused on other areas of Total Rewards? I would love to set up a quick 15-minute call to reconnect and share how our current capabilities could benefit your team now. Would next week work for a brief chat? Best regards,",,Automotive,Jasmine Gonzalez
15 - Source Email (categorized winner),F2 Reconnect / New POC,Senior Innovator of Corporate Tech (Donaldson Company),,,"Hi Brice, I'm reaching out because I saw we had a conversation back in 2023 about our Customer Experience platform. A lot has changed since then in the world of CX, and I wanted to reconnect. I also saw you talk to Hannah in Research Services quite often, and I would love to hear what your team is focused on accomplishing in 2026. Qualtrics has made significant advancements to our platform, and I'd be interested to discuss how we can continue to partner with you to support your innovative business initiatives. Would you be open to a quick 15-minute chat next week? Best regards,",,Manufacturing,Jasmine Gonzalez
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),Associate Manager of BOOK IT! Program (Pizza Hut),,,"Hi Prisma! I wanted to send a quick message and officially introduce myself - I'm on the Qualtrics team supporting Yum Brands. You may have heard our name thrown around (we currently work with KFC and Taco Bell). We're helping them collect customer feedback across their in-store and digital channels. I'm reaching out because I believe our work could also benefit the Book It! experience, especially when it comes to understanding exactly how parents and kids are interacting with the program and app. Any interest in learning a bit more next week?",,Foodservice,Amber Lamphere
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"No sequence, just one off from int moments | Technical Manager - Product Researc",,,"Hi David - Great to connect with you! I'm Theresa, and I work with the Nissan account team at Qualtrics. I saw you recently signed up for one of our webinars, and after seeing your your background in both quantitative and qualitative product research, I thought of something that might be a big help in your day-to-day. You mentioned your goal of streamlining things with tools like Copilot to work better and faster; well, we have a new method called EDGE Audiences that tackles a similar challenge: securing research panel participants. It's all about making that process faster and cheaper so you can cut down your time-to-insight. I'd love to have a quick 15-minute chat to share the high-level concept and hear about any research initiatives you've got on your plate for the next few weeks. Are you open to a quick intro next week?",,Automotive,Theresa Zeh
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),one-off email | Brand Account Director (NielsenIQ),,,"Hi Kelly, As we gear up for TMRE in Las Vegas next week, I'm reaching out to a small group of market research leaders. Given your role as a Brands Account Director at NielsenIQ, I was curious if you're planning on attending the conference? Qualtrics is hosting a small networking dinner on Tuesday night at the Bellagio Hotel & Casino. It's just a chance to connect with other leaders in the industry, share a good meal, and get a break from the conference floor. When: Tuesday, October 28th, at 7:30 PM PST Where: Michael Mina at the Bellagio Hotel & Casino What: Qualtrics CTO, Ali Rohani, will be hosting and leaders from iHeartMedia, Google, Verizon, Motorola, Uber and the New York Times will be joining If you are attending the conference and would be interested in joining dinner on Tuesday, please let me know. I'd be happy to reserve a spot for you! Best, Michael",,Market Research,Michael Flynn
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),one-off email | Brand Account Director (NielsenIQ),,,"Hi Brett, As we gear up for TMRE in Las Vegas next week, I'm reaching out to a small group of market research leaders. Given your role as a Brands Account Director at NielsenIQ, I was curious if you're planning on attending the conference? Qualtrics is hosting a small networking dinner on Tuesday night at the Bellagio Hotel & Casino. It's just a chance to connect with other leaders in the industry, share a good meal, and get a break from the conference floor. When: Tuesday, October 28th, at 7:30 PM PST Where: Michael Mina at the Bellagio Hotel & Casino What: Qualtrics CTO, Ali Rohani, will be hosting and leaders from iHeartMedia, Google, Verizon, Motorola, Uber and the New York Times will be joining If you are attending the conference and would be interested in joining dinner on Tuesday, please let me know. I'd be happy to reserve a spot for you! Best, Michael",,Market Research,Michael Flynn
15 - Source Email (categorized winner),F2 Reconnect / New POC,Hand-off from previous SDR | Senior Design Director (NTT Data),,,"Hi Ash, I hope you've been well! I noticed you spoke with my colleague Rachael Murray last March about some of the surveying solutions Qualtrics could offer Campbells and your team. I'm hoping to set up a time to reconnect. A lot has changed over the past year or so, and I think a discussion about your 2024 goals and upcoming initiatives could be valuable. We've recently come out with new pricing and product updates and we would be happy to go over some of these in real-time. Do you have 15-20 minutes to connect this week or next? All the best,",,Technology / Consulting,Michael Flynn
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Surplus Budget play | Global HRIS and Transformation Project Manager (Coty),,,"Hi Lauriane, I know this is the time of year when planning for 2026 is in full swing, and budgets are top of mind. Sometimes, this is also when unexpected surplus budget becomes available from other projects. Is this the case for you? I'd be happy to brainstorm a few high-impact, low-effort ways you could put that to use within your current Qualtrics contract to build momentum for next year. For example, things like: - Improving lifecycle surveys - Increasing pulse frequency or scale - Rolling out manager access licenses - Utilizing action planning tools - Deploying advanced EX analytics - Leveraging AI powered NLP No pressure at all. If you're starting to think about this, I'm happy to help. Best, Riley",,CPG,Riley Coine
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Raiders game | VP of Special Projects (Wynn Las Vegas),,,"Hi Lindsey, My name is Theresa and I work closely with Brian Pack (CC'd) on the Wynn account here at Qualtrics. Reason for my email is because we would like to personally invite you to join us and our partner, Walker, for an exclusive game day event to watch the Las Vegas Raiders take on the Cleveland Browns at Allegiant Stadium. This will be hosted in a private suite, with complimentary food and beverages, and an opportunity for networking with other experience management leaders. Event Details: Las Vegas Raiders vs. Cleveland Browns @ Allegiant Stadium Sunday, November 23, 2025 12:00 PM - End of Game We'd love for you to join us for this opportunity to connect, learn, and enjoy the game in style. Space is limited and available by invitation only. Please reply to this email if you're interested so we can quickly get you registered! Go Raiders! Theresa",,Hospitality / Gaming,Theresa Zeh
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC / Follow up from event | CX program Manager (Stellantis),,,"Hi Thomas, I wanted to send a quick note after seeing you attended the ""AI - Accelerating CX insights"" session back in July. I work with Chris Dooley on the Stellantis account here. As a current Qualtrics customer, you're perfectly positioned to activate the new AI-driven capabilities we discussed. These features can significantly accelerate insight generation and action across Stellantis's brands. Could we schedule a brief 15-minute call next week? I'd love to show you concrete examples of how you can use these tools immediately within your existing programs to cut down time-to-action. Best regards, Tom P.S. Great name lol",,Automotive,Tom Bablak
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC / Free account | Director of Data Science (Procter & Gamble),,,"Hi Ross, I support the P&G account here at Qualtrics! Saw that you Created a free account with us so I wanted to reach out. I wanted to find some time to connect with you to do intros, understand your program goals and priorities and see if there is any alignment in how my team can support yours! Can you connect on Friday or Monday for a 15 minute chat? Nothing formal, just some time to talk through your goals and see if we can help you reach them. Best, Michael",,Other / Enterprise,Michael Flynn
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Market Research Consultant at Casey's (Casey's),,,"Hey Hai, it's great to connect! Curious if you are familiar with Qualtrics at all from your career in market research? I support the Casey's account here and was speaking with Austin Bachman, who suggested I reach out to you. We've been working with insight teams to help conduct qual & quant research. Recently we introduced a panel subscription model that has decreased the cost and turnaround time for panel research (+ has synthetic panel capabilities). Not sure if any of this would be of interest, but if so we'd love to introduce ourselves and chat about what Qualtrics could look like at Casey's. Cheers!",,Retail,Amber Lamphere
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),Sr Director Integrated Marketing (Lands' End),,,"Hey Natalie - great to connect. Congratulations on the move to Lands' End! I'm on the Qualtrics team supporting Lands' End. You may have heard our name thrown around as we work with the consumer insights team to collect, analyze, and act on different types of customer feedback & research. We'd love the opportunity to introduce ourselves, fill you in on the current relationship, and see if we could be of any value in your work. Imagining you're getting up to speed right now. Would mid-late November be good to connect with you? Would love to learn your vision for Lands' End and share our approach especially as I imagine you're in planning season right now. Cheers!",,Retail,Amber Lamphere
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Director of HR and Talent Acquisition (B&NED),,,"Hi Jessica, We spoke in April about your employee/candidate experience program and how Qualtrics could potentially add value. With new fiscal year planning coming up, I wanted to reach out and see if it would make sense to connect. Our partners leverage the Qualtrics platform to understand employee sentiment, identify the key drivers behind attrition and productivity, and where they should invest in the frontlines to improve the store experience. We've love to find some time in the next few weeks to discuss how this could be used at B&N Education. Would you be open to connecting? Warmly, Amber",,Retail,Amber Lamphere
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),responded to one off X4 message | Digital Insights & Strategy Advisor (Keurig Dr,,,"Hi Kalyn, Thanks so much for letting me know! Since Keurig Dr Pepper is already a partner with us (leveraging a Strategy & Research license), I was hoping to connect briefly for just 15-20 minutes if your schedule allows. We are currently focused on how our Edge Audiences solutions can drive faster, more targeted actionability for digital insights. Given your unique role in insights supporting Walmart, we'd really value the chance to introduce the team and get your perspective on how KDP approaches this critical area of insights. It would simply be an introduction and a chance for us to ensure we are maximizing our partnership value for your team, not a heavy lift. How does your schedule look next Wednesday at 11am or 3pm EST? Best, Maureen",,CPG,Maureen Callaghan
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),X4 message from 2 months ago that she just responded with letting me know her te,,,"Hi Marissa, I'm with the Qualtrics team supporting Starbucks. I'm excited to share that our annual conference X4 is moving to the Seattle Convention Center next March. Given your proximity and our company's partnership, we wanted to prioritize your team. What you can look forward to: Real-world demos showcasing Agentic AI in action within customer experience Sessions offering fresh insights and practical solutions tailored to today's challenges Meaningful networking opportunities to connect, share, and spark innovative ideas Hands-on demos letting you explore Qualtrics your way 1:1 time with experts ready to help tackle your toughest questions Speaking session both on experience management in a business context, as well as thought leadership We've announced some early speakers with Jay Shetty and Andy Cohen. If you'd like assistance with registration or more details, I'm here to help! In addition, if you'd like to connect for 15 min, we can exchange some particulars and answer questions. Please let me know a time that works for you if so. Looking forward to hopefully seeing you in Seattle! Best, Maureen",,CPG,Maureen Callaghan
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Sanders Onsite Costco | Product Owner (Costco),,,Hi Roi-Lynn - I'm on the Qualtrics team supporting Costco. We're an approved partner of Costco working with the sustainability team. We're having an onsite on Thursday 7th. Wanted to ask if you'd be in office to chat for a few mins. We'd love the opportunity to introduce ourselves and share how we could be leveraged to drive your product research & roadmapping initiatives. Possible to find ~10 mins while we're there? Even if to say hello. Cheers. Josh,,Retail,Josh
